strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,cagr,sortino,params
V6_E3_P003,group_e3_pullback,"E3 pull lb=3 prox=0.5 macd=True",1100,0.154,1694.127,169.41,0.50,1.15,37.87,27.5,17.22,2.20,"{""lookback"":3,""proximity"":0.5,""require_macd"":true}"
V6_E3_P004,group_e3_pullback,"E3 pull lb=3 prox=0.5 macd=False",1215,0.0972,1181.127,118.11,0.40,1.11,45.49,27.1,13.32,1.78,"{""lookback"":3,""proximity"":0.5,""require_macd"":false}"
V6_E3_P005,group_e3_pullback,"E3 pull lb=3 prox=0.8 macd=True",1320,0.2359,3114.041,311.40,0.71,1.19,44.51,28.1,25.45,2.81,"{""lookback"":3,""proximity"":0.8,""require_macd"":true}"
V6_E3_P006,group_e3_pullback,"E3 pull lb=3 prox=0.8 macd=False",1405,0.1956,2748.797,274.88,0.67,1.16,47.54,27.8,23.59,2.67,"{""lookback"":3,""proximity"":0.8,""require_macd"":false}"
V6_E3_P007,group_e3_pullback,"E3 pull lb=5 prox=0.3 macd=True",817,0.119,972.302,97.23,0.36,1.14,33.51,27.7,11.50,1.73,"{""lookback"":5,""proximity"":0.3,""require_macd"":true}"
V6_E3_P008,group_e3_pullback,"E3 pull lb=5 prox=0.3 macd=False",950,0.0563,534.811,53.48,0.23,1.08,43.53,27.2,7.11,1.08,"{""lookback"":5,""proximity"":0.3,""require_macd"":false}"
V6_E3_P009,group_e3_pullback,"E3 pull lb=5 prox=0.5 macd=True",1100,0.154,1694.127,169.41,0.50,1.15,37.87,27.5,17.22,2.20,"{""lookback"":5,""proximity"":0.5,""require_macd"":true}"
V6_E3_P010,group_e3_pullback,"E3 pull lb=5 prox=0.5 macd=False",1215,0.0972,1181.127,118.11,0.40,1.11,45.49,27.1,13.32,1.78,"{""lookback"":5,""proximity"":0.5,""require_macd"":false}"
V6_E3_P011,group_e3_pullback,"E3 pull lb=5 prox=0.8 macd=True",1320,0.2359,3114.041,311.40,0.71,1.19,44.51,28.1,25.45,2.81,"{""lookback"":5,""proximity"":0.8,""require_macd"":true}"
V6_E3_P012,group_e3_pullback,"E3 pull lb=5 prox=0.8 macd=False",1405,0.1956,2748.797,274.88,0.67,1.16,47.54,27.8,23.59,2.67,"{""lookback"":5,""proximity"":0.8,""require_macd"":false}"
V6_E3_P013,group_e3_pullback,"E3 pull lb=8 prox=0.3 macd=True",817,0.119,972.302,97.23,0.36,1.14,33.51,27.7,11.50,1.73,"{""lookback"":8,""proximity"":0.3,""require_macd"":true}"
V6_E3_P014,group_e3_pullback,"E3 pull lb=8 prox=0.3 macd=False",950,0.0563,534.811,53.48,0.23,1.08,43.53,27.2,7.11,1.08,"{""lookback"":8,""proximity"":0.3,""require_macd"":false}"
V6_E3_P015,group_e3_pullback,"E3 pull lb=8 prox=0.5 macd=True",1100,0.154,1694.127,169.41,0.50,1.15,37.87,27.5,17.22,2.20,"{""lookback"":8,""proximity"":0.5,""require_macd"":true}"
V6_E3_P016,group_e3_pullback,"E3 pull lb=8 prox=0.5 macd=False",1215,0.0972,1181.127,118.11,0.40,1.11,45.49,27.1,13.32,1.78,"{""lookback"":8,""proximity"":0.5,""require_macd"":false}"
V6_E3_P017,group_e3_pullback,"E3 pull lb=8 prox=0.8 macd=True",1320,0.2359,3114.041,311.40,0.71,1.19,44.51,28.1,25.45,2.81,"{""lookback"":8,""proximity"":0.8,""require_macd"":true}"
V6_E3_P018,group_e3_pullback,"E3 pull lb=8 prox=0.8 macd=False",1405,0.1956,2748.797,274.88,0.67,1.16,47.54,27.8,23.59,2.67,"{""lookback"":8,""proximity"":0.8,""require_macd"":false}"
V6_E4_P001,group_e4_exit,"E4a DI exit bars=8 profit=-0.02",1143,0.3092,3533.682,353.37,0.80,1.28,13.22,38.1,27.42,2.43,"{""type"":""di_cross"",""min_bars"":8,""min_profit"":-0.02}"
V6_E4_P002,group_e4_exit,"E4a DI exit bars=8 profit=0.0",1130,0.3448,3896.089,389.61,0.83,1.29,14.41,45.7,29.00,2.91,"{""type"":""di_cross"",""min_bars"":8,""min_profit"":0.0}"
V6_E4_P003,group_e4_exit,"E4a DI exit bars=8 profit=0.02",1124,0.362,4069.017,406.90,0.84,1.28,13.42,41.1,29.72,3.04,"{""type"":""di_cross"",""min_bars"":8,""min_profit"":0.02}"
V6_E4_P004,group_e4_exit,"E4a DI exit bars=12 profit=-0.02",1143,0.3081,3521.526,352.15,0.79,1.28,13.23,38.1,27.36,2.43,"{""type"":""di_cross"",""min_bars"":12,""min_profit"":-0.02}"
V6_E4_P005,group_e4_exit,"E4a DI exit bars=12 profit=0.0",1130,0.345,3898.419,389.84,0.83,1.29,14.41,45.7,29.01,2.91,"{""type"":""di_cross"",""min_bars"":12,""min_profit"":0.0}"
V6_E4_P006,group_e4_exit,"E4a DI exit bars=12 profit=0.02",1124,0.362,4069.017,406.90,0.84,1.28,13.42,41.1,29.72,3.04,"{""type"":""di_cross"",""min_bars"":12,""min_profit"":0.02}"
V6_E4_P007,group_e4_exit,"E4a DI exit bars=16 profit=-0.02",1142,0.3062,3496.701,349.67,0.79,1.28,13.89,38.3,27.25,2.42,"{""type"":""di_cross"",""min_bars"":16,""min_profit"":-0.02}"
V6_E4_P008,group_e4_exit,"E4a DI exit bars=16 profit=0.0",1130,0.3491,3945.265,394.53,0.84,1.29,14.37,45.7,29.20,2.93,"{""type"":""di_cross"",""min_bars"":16,""min_profit"":0.0}"
V6_E4_P009,group_e4_exit,"E4a DI exit bars=16 profit=0.02",1124,0.3663,4116.807,411.68,0.84,1.29,13.41,41.1,29.91,3.05,"{""type"":""di_cross"",""min_bars"":16,""min_profit"":0.02}"
V6_E4_P010,group_e4_exit,"E4a DI exit bars=20 profit=-0.02",1142,0.2953,3371.759,337.18,0.77,1.27,13.71,38.7,26.68,2.40,"{""type"":""di_cross"",""min_bars"":20,""min_profit"":-0.02}"
