strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,avg_duration,cagr,sortino,params
Exp_Best_A30_R07_S008_T03,best_combo,"ADX=30 ATR=0.7 SL=-0.08 Trail=0.3",905,0.14,1278.499,127.85,0.44,1.16,24.16,29.3,0,14.11,2.79,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.08,""trail_offset"":0.3}"
Exp_Best_A30_R07_S008_T035,best_combo,"ADX=30 ATR=0.7 SL=-0.08 Trail=0.35",888,0.15,1337.965,133.80,0.42,1.16,29.34,27.9,0,14.58,2.77,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.08,""trail_offset"":0.35}"
Exp_Best_A30_R07_S01_T025,best_combo,"ADX=30 ATR=0.7 SL=-0.1 Trail=0.25",916,0.27,2504.779,250.48,0.64,1.23,11.25,35.5,0,22.27,2.45,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.1,""trail_offset"":0.25}"
Exp_Best_A30_R07_S01_T03,best_combo,"ADX=30 ATR=0.7 SL=-0.1 Trail=0.3",900,0.35,3148.06,314.81,0.66,1.25,18.37,33.7,0,25.61,2.60,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.1,""trail_offset"":0.3}"
Exp_Best_A30_R07_S01_T035,best_combo,"ADX=30 ATR=0.7 SL=-0.1 Trail=0.35",877,0.39,3420.186,342.02,0.64,1.26,20.05,32.2,0,26.90,2.65,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.1,""trail_offset"":0.35}"
Exp_Best_A30_R07_S012_T025,best_combo,"ADX=30 ATR=0.7 SL=-0.12 Trail=0.25",914,0.22,2010.497,201.05,0.53,1.19,14.38,37.2,0,19.32,1.74,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.12,""trail_offset"":0.25}"
Exp_Best_A30_R07_S012_T03,best_combo,"ADX=30 ATR=0.7 SL=-0.12 Trail=0.3",897,0.3,2711.742,271.17,0.57,1.22,14.44,35.1,0,23.40,1.92,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.12,""trail_offset"":0.3}"
Exp_Best_A30_R07_S012_T035,best_combo,"ADX=30 ATR=0.7 SL=-0.12 Trail=0.35",874,0.39,3450.37,345.04,0.60,1.24,15.80,34.0,0,27.04,2.02,"{""adx_min"":30,""atr_mult"":0.7,""stoploss"":-0.12,""trail_offset"":0.35}"
Exp_Stoch_14_3_50,stoch_dc,"Stoch(14,3) Entry>50",3082,-0.02,-680.416,-68.04,-1.01,0.88,71.60,31.8,0,-16.71,-2.32,"{""stoch_k"":14,""stoch_d"":3,""stoch_entry"":50}"
Exp_Stoch_14_3_60,stoch_dc,"Stoch(14,3) Entry>60",3045,-0.02,-723.15,-72.31,-1.17,0.86,74.93,31.6,0,-18.61,-2.59,"{""stoch_k"":14,""stoch_d"":3,""stoch_entry"":60}"
Exp_Stoch_14_3_70,stoch_dc,"Stoch(14,3) Entry>70",2908,-0.03,-737.224,-73.72,-1.22,0.84,76.15,31.5,0,-19.28,-2.69,"{""stoch_k"":14,""stoch_d"":3,""stoch_entry"":70}"
Exp_Stoch_14_5_50,stoch_dc,"Stoch(14,5) Entry>50",2933,-0.03,-738.451,-73.85,-1.20,0.85,76.55,33.3,0,-19.34,-2.61,"{""stoch_k"":14,""stoch_d"":5,""stoch_entry"":50}"
Exp_Stoch_21_3_50,stoch_dc,"Stoch(21,3) Entry>50",2943,-0.02,-645.916,-64.59,-0.88,0.89,68.10,32.4,0,-15.33,-2.07,"{""stoch_k"":21,""stoch_d"":3,""stoch_entry"":50}"
