strategy,group,name,trades,avg_profit_pct,tot_profit_usdt,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,win_rate,avg_duration,cagr,sortino,params
V3_NB_SOT_01035025,newbase_opt,"NB+S-0.1_O0.35_T0.25",1177,0.93,10992.878,1099.29,0.96,1.32,17.84,33.6,0,48.92,2.81,"{""stoploss"":-0.1,""trail_offset"":0.35,""tp_big"":0.25}"
V3_NB_SOT_0104025,newbase_opt,"NB+S-0.1_O0.4_T0.25",1169,0.73,8549.975,855.00,0.90,1.29,17.84,33.2,0,43.58,2.76,"{""stoploss"":-0.1,""trail_offset"":0.4,""tp_big"":0.25}"
V3_NB_SOT_01203503,newbase_opt,"NB+S-0.12_O0.35_T0.3",1165,1.14,13302.394,1330.24,0.92,1.32,19.44,34.5,0,53.18,2.38,"{""stoploss"":-0.12,""trail_offset"":0.35,""tp_big"":0.3}"
V3_MFI_14_40,dc_mfi,"DC+MFI(14)>40",1180,0.35,4155.862,415.59,0.77,1.23,16.29,33.4,0,30.07,2.68,"{""mfi_period"":14,""mfi_min"":40}"
V3_MFI_14_50,dc_mfi,"DC+MFI(14)>50",1176,0.35,4101.753,410.18,0.76,1.23,16.29,33.4,0,29.85,2.68,"{""mfi_period"":14,""mfi_min"":50}"
V3_MFI_14_60,dc_mfi,"DC+MFI(14)>60",1147,0.38,4343.313,434.33,0.79,1.24,15.31,33.5,0,30.82,2.75,"{""mfi_period"":14,""mfi_min"":60}"
V3_MFI_14_30,dc_mfi,"DC+MFI(14)>30",1179,0.36,4248.389,424.84,0.77,1.23,16.24,33.4,0,30.44,2.68,"{""mfi_period"":14,""mfi_min"":30}"
V3_MFI_7_50,dc_mfi,"DC+MFI(7)>50",1178,0.35,4139.243,413.92,0.76,1.22,16.29,33.4,0,30.00,2.66,"{""mfi_period"":7,""mfi_min"":50}"
V3_MFI_7_60,dc_mfi,"DC+MFI(7)>60",1161,0.31,3624.848,362.48,0.73,1.22,15.26,33.2,0,27.82,2.66,"{""mfi_period"":7,""mfi_min"":60}"
V3_MFI_21_40,dc_mfi,"DC+MFI(21)>40",1178,0.37,4309.281,430.93,0.78,1.23,16.24,33.4,0,30.68,2.68,"{""mfi_period"":21,""mfi_min"":40}"
V3_MFI_21_50,dc_mfi,"DC+MFI(21)>50",1175,0.35,4110.976,411.10,0.75,1.22,16.28,33.3,0,29.89,2.64,"{""mfi_period"":21,""mfi_min"":50}"
