strategy,group,name,window,phase,timerange,trades,tot_profit_pct,sharpe,profit_factor,max_drawdown_pct,cagr,sortino
V6_E7_P003,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.7",W1,train,20200101-20230101,577,240.20,1.06,1.33,13.71,50.62,4.69
V6_E7_P003,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.7",W1,test,20230101-20240101,207,47.74,1.02,1.31,21.54,47.74,5.90
V6_E7_P003,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.7",W2,train,20210101-20240101,594,202.74,0.96,1.30,21.54,44.66,4.63
V6_E7_P003,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.7",W2,test,20240101-20250101,174,27.66,1.04,1.34,20.21,27.57,5.14
V6_E7_P003,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.7",W3,train,20220101-20250101,500,102.38,0.79,1.28,21.52,26.46,4.11
V6_E7_P003,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.7",W3,test,20250101-20260401,186,46.15,1.11,1.45,12.38,35.58,4.65
V6_E7_P004,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.8",W1,train,20200101-20230101,595,199.46,0.98,1.28,13.58,44.33,4.53
V6_E7_P004,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.8",W1,test,20230101-20240101,216,54.38,1.17,1.34,22.87,54.38,6.72
V6_E7_P004,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.8",W2,train,20210101-20240101,612,192.43,0.97,1.29,22.80,43.00,4.83
V6_E7_P004,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.8",W2,test,20240101-20250101,180,32.27,1.17,1.37,16.40,32.16,5.91
V6_E7_P004,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.8",W3,train,20220101-20250101,518,122.57,0.90,1.31,22.88,30.53,4.69
V6_E7_P004,group_e7_dyn_atr,"E7 dynATR low=0.3 high=0.8 th=0.8",W3,test,20250101-20260401,195,43.15,1.04,1.39,13.50,33.34,4.41
V6_E7_P006,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.6",W1,train,20200101-20230101,536,224.29,1.05,1.35,11.82,48.23,4.71
V6_E7_P006,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.6",W1,test,20230101-20240101,189,48.88,1.01,1.33,18.88,48.88,6.09
V6_E7_P006,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.6",W2,train,20210101-20240101,543,215.81,0.96,1.33,18.89,46.72,4.65
V6_E7_P006,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.6",W2,test,20240101-20250101,163,21.49,0.84,1.29,20.15,21.43,4.04
V6_E7_P006,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.6",W3,train,20220101-20250101,459,99.87,0.74,1.29,19.95,25.94,3.87
V6_E7_P006,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.6",W3,test,20250101-20260401,170,36.24,0.91,1.39,10.35,28.16,3.86
V6_E7_P007,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.7",W1,train,20200101-20230101,549,242.56,1.08,1.35,13.68,50.97,4.83
V6_E7_P007,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.7",W1,test,20230101-20240101,197,47.78,1.00,1.31,18.15,47.78,5.81
V6_E7_P007,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.7",W2,train,20210101-20240101,559,211.23,0.95,1.32,18.10,46.00,4.55
V6_E7_P007,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.7",W2,test,20240101-20250101,168,24.85,0.95,1.32,18.99,24.77,4.65
V6_E7_P007,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.7",W3,train,20220101-20250101,476,104.01,0.76,1.29,19.50,26.80,3.96
V6_E7_P007,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.7",W3,test,20250101-20260401,179,40.90,1.02,1.42,10.93,31.66,4.31
V6_E7_P008,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.8",W1,train,20200101-20230101,564,203.87,0.99,1.31,13.69,45.04,4.67
V6_E7_P008,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.8",W1,test,20230101-20240101,204,52.45,1.10,1.33,19.03,52.45,6.38
V6_E7_P008,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.8",W2,train,20210101-20240101,576,193.74,0.95,1.31,19.01,43.21,4.66
V6_E7_P008,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.8",W2,test,20240101-20250101,173,29.95,1.09,1.36,16.12,29.85,5.46
V6_E7_P008,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.8",W3,train,20220101-20250101,492,121.55,0.86,1.31,19.00,30.33,4.49
V6_E7_P008,group_e7_dyn_atr,"E7 dynATR low=0.4 high=0.8 th=0.8",W3,test,20250101-20260401,189,37.19,0.93,1.35,12.17,28.87,4.00
V6_E9_P001,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=25",W1,train,20200101-20230101,571,215.82,0.95,1.29,13.59,46.92,4.45
V6_E9_P001,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=25",W1,test,20230101-20240101,212,73.90,1.36,1.41,14.06,73.90,8.00
V6_E9_P001,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=25",W2,train,20210101-20240101,585,247.90,1.04,1.34,14.03,51.52,5.04
V6_E9_P001,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=25",W2,test,20240101-20250101,165,51.46,1.65,1.64,9.58,51.29,8.30
V6_E9_P001,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=25",W3,train,20220101-20250101,496,174.87,1.12,1.43,14.05,40.04,5.71
V6_E9_P001,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=25",W3,test,20250101-20260401,189,54.21,1.25,1.50,12.21,41.55,5.27
V6_E9_P002,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=30",W1,train,20200101-20230101,567,216.41,0.96,1.30,13.48,47.01,4.52
V6_E9_P002,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=30",W1,test,20230101-20240101,210,77.58,1.42,1.43,14.06,77.58,8.31
V6_E9_P002,group_e9_adx_dc,"E9 ADX-DC s=10 w=30 adx=30",W2,train,20210101-20240101,582,256.10,1.07,1.36,14.05,52.71,5.18
